Date,ARKK_ret,Volume,Mom,Mkt-RF,SMB,HML,RMW,CMA
20150212,0.008761905,1700,-0.0047,0.01,0.0017,-0.0006,-0.0015,-0.0029
20150213,0.00846267,1900,-0.0133,0.0047,0.0014,-0.0032,-0.003,-0.0024
20150217,-0.012037037,3400,0.0001,0.0017,-0.0002,-0.0007,-0.0019,-0.0015
20150218,0.001499766,800,0.0066,0.0003,0.0026,-0.0081,0.0029,-0.0018
20150219,0.000464468,1700,-0.0057,-0.0001,0.0021,-0.0037,-0.0005,-0.0037
20150220,-0.003034483,800,0.0056,0.0061,-0.0044,-0.0027,-0.0007,-0.001
20150223,-0.003248214,1600,0.0093,-0.0008,0.0004,-0.0037,0.0038,-0.0022
20150224,-0.004091074,900,-0.0006,0.0032,0,0.0072,-0.0023,0.0035
20150225,-0.0037192,2400,-0.0103,0.0002,0.0019,-0.0049,-0.0056,-0.0019
20150226,-0.002765069,1300,0.0029,-0.0008,0.0054,-0.0049,-0.0015,-0.0032
20150227,0,200,-0.0018,-0.0036,-0.0022,0.0019,0.0006,0.0028
20150302,-0.001903435,3300,0.0033,0.0062,0.0019,-0.0046,0.0006,0.0006
20150303,0,500,-0.004,-0.0043,-0.003,0.0031,-0.0008,0.0004
20150304,0.006593928,300,0.0005,-0.0041,0.0012,-0.0038,-0.0004,-0.0026
20150305,0,200,-0.0004,0.0015,0.0022,-0.0042,-0.0051,-0.0012
20150306,-0.026196051,1100,0.001,-0.0129,0.003,0.0043,-0.0011,0.0001
20150309,-0.01701328,28400,0.0078,0.0037,0.0011,-0.0002,0.0029,-0.0005
20150310,-0.00106801,1100,0.0045,-0.0163,0.0044,-0.0052,0.0012,-0.0015
20150311,0.000774904,600,-0.0004,-0.0004,0.0061,0.0051,-0.0048,-0.0003
20150312,0,200,0.0067,0.0128,0.004,0.005,-0.0006,0.0022
20150313,0.0012627,5100,0.0072,-0.0057,0.002,-0.0004,-0.0009,-0.001
20150316,-0.001440278,300,0.0063,0.0123,-0.0079,-0.0038,-0.0013,-0.0012
20150317,0,200,0.0023,-0.002,0.0053,-0.0002,-0.0002,-0.0025
20150318,0,1400,-0.0083,0.0108,-0.005,0.0002,0.0015,-0.0002
20150319,-0.0018921,600,0.0094,-0.0036,0.008,-0.0112,0.001,-0.0037
20150320,0,200,-0.004,0.0081,-0.0011,0.0056,0.0044,0.0022
20150323,-0.008845391,900,-0.0049,-0.0019,0.002,0.0023,0.0018,0.0027
20150324,-0.004674989,3900,-0.0033,-0.0051,0.0053,-0.0025,0.0011,-0.0022
20150325,0,200,-0.0117,-0.0156,-0.0089,0.0103,0.0036,0.0045
20150326,0,200,0,-0.0022,0.0009,-0.0004,0.0003,-0.002
20150327,0,200,0.0115,0.0032,0.0043,-0.0071,-0.0014,-0.0013
20150330,0,100,0.0018,0.0124,0.0006,0,-0.0029,0.0001
20150331,0.000720413,1100,-0.0024,-0.0075,0.0044,0.0038,0.0017,0.002
20150401,0,1000,-0.0016,-0.0038,0.0034,0.0044,-0.0017,0.0024
20150402,0.003302623,400,-0.0056,0.0035,-0.001,0.0028,-0.0011,0.0023
20150406,0.010115559,1800,-0.0131,0.0061,-0.0029,-0.0011,0.0021,-0.0022
20150407,-0.004748338,2500,-0.003,-0.0022,-0.002,-0.0018,-0.0018,-0.0023
20150408,-0.002069614,900,0.0128,0.0037,0.0046,-0.0073,-0.0005,-0.0027
20150409,0.00566033,1500,-0.008,0.0041,-0.0073,-0.0007,-0.0026,0.0013
20150410,0.003736572,2400,0.0031,0.0049,-0.0016,-0.0029,-0.0046,0.0022
20150413,-0.004070636,300,0.0005,-0.0038,0.0056,0.0024,-0.0014,-0.001
20150414,-0.001400607,800,-0.0116,0.001,-0.0015,0.0023,0.0007,0.001
20150415,0,400,-0.0172,0.0057,0.0028,0.0036,-0.0021,-0.001
20150416,0.00091659,1700,0.0057,-0.0008,-0.001,-0.0021,-0.0021,-0.002
20150417,-0.006038133,1200,0.0008,-0.0123,-0.0042,0.0016,0.0017,0.0008
20150420,0,100,0.0029,0.0095,0.0015,-0.0027,0.0045,-0.0031
20150421,-0.003599492,2200,0.0127,-0.001,0.0011,-0.0073,0.001,-0.0025
20150422,0.000919963,500,-0.0017,0.0046,-0.0039,0.0018,-0.0007,0.0001
20150423,-0.002042669,1100,-0.0025,0.0029,0.003,-0.0025,-0.0001,-0.0024
20150424,-0.003263974,6100,0.0038,0.0017,-0.0052,-0.0031,0.0083,-0.0053
20150427,-0.00044964,500,-0.0124,-0.0054,-0.0066,0.0056,0.0054,-0.0008
20150428,-0.009119927,600,-0.0073,0.0027,0.0024,0.0106,0.0006,0.004
20150429,0.00046416,2000,-0.0125,-0.0038,-0.0073,0.0074,-0.0077,-0.0004
20150430,-0.009922088,3300,-0.0114,-0.0111,-0.0102,0.0073,0.0025,0.0042
20150501,-0.002399184,400,0.01,0.0101,-0.0031,-0.006,0.0025,-0.001
20150504,0.017037706,4600,0.0024,0.0032,0.001,0.0023,-0.0015,0.0002
20150505,0,100,-0.0043,-0.0119,-0.0015,0.0052,-0.0001,0.0021
20150506,0.001406967,1300,0.0044,-0.0031,0.006,-0.0013,-0.0025,0.0014
20150507,0.004817004,300,0.0085,0.0039,0.0001,-0.0036,-0.0025,0.0008
20150508,-0.001437518,500,0.0017,0.0121,-0.0055,-0.0012,-0.0028,-0.0022
20150511,0.004304161,1300,0.0054,-0.0039,0.0067,-0.0002,-0.0004,0.0002
20150512,0,100,-0.0033,-0.0027,0,0.0011,-0.0015,0
20150513,0,200,-0.0007,0.0001,-0.0001,0.0004,-0.0012,0.0002
20150514,0,200,0.0086,0.0101,-0.0016,-0.0034,0.0012,-0.0038
20150515,9.47E-05,400,-0.0036,0.0005,-0.0022,-0.0021,0.0024,0.0026
